검사일시,생산라인,설비번호,온도,진동,회전수,압력,판정
2026-09-01 06:00,A라인,A-100,72.36,2.96,1452.4,4.2,미판정
2026-09-01 07:00,A라인,A-101,71.03,2.94,1451.64,4.02,미판정
2026-09-01 08:00,A라인,A-102,72.76,2.98,1439.38,3.85,미판정
2026-09-01 09:00,A라인,A-103,72.82,3.06,1454.84,3.83,미판정
2026-09-01 10:00,A라인,A-104,70.55,3.16,1448.12,3.79,미판정
2026-09-01 11:00,A라인,A-105,71.1,3.00,1445.76,3.83,미판정
2026-09-01 12:00,A라인,A-106,73.04,2.87,1442.8,3.85,미판정
2026-09-01 13:00,A라인,A-100,73.25,3.09,1456.67,3.81,미판정
2026-09-01 14:00,A라인,A-101,70.82,2.88,1445.46,3.84,미판정
2026-09-01 15:00,A라인,A-102,70.9,2.84,1446.39,3.83,미판정
2026-09-01 06:00,B라인,B-100,83.9,4.29,1593.48,5.48,미판정
2026-09-01 07:00,B라인,B-101,85.61,4.27,1608.36,5.66,미판정
2026-09-01 08:00,B라인,B-102,84.71,4.14,1609.68,5.31,미판정
2026-09-01 09:00,B라인,B-103,85.98,4.30,1609.48,5.59,미판정
2026-09-01 10:00,B라인,B-104,85.83,4.32,1605.73,5.56,미판정
2026-09-01 11:00,B라인,B-105,84.84,4.31,1598.75,5.43,미판정
2026-09-01 12:00,B라인,B-106,84.67,4.22,1611.7,5.3,미판정
2026-09-01 13:00,B라인,B-100,83.55,4.04,1593.18,5.51,미판정
2026-09-01 14:00,B라인,B-101,84.13,4.10,1608.58,5.41,미판정
2026-09-01 15:00,B라인,B-102,85.73,4.30,1598.16,5.29,미판정
2026-09-01 06:00,C라인,C-100,94.45,5.45,1749.33,7.01,미판정
2026-09-01 07:00,C라인,C-101,94.31,5.26,1740.39,6.79,미판정
2026-09-01 08:00,C라인,C-102,94.37,5.23,1748.56,6.7,미판정
2026-09-01 09:00,C라인,C-103,95.87,5.49,1739.95,6.8,미판정
2026-09-01 10:00,C라인,C-104,94.96,5.35,1749.83,6.86,미판정
2026-09-01 11:00,C라인,C-105,94.57,5.28,1740.23,6.59,미판정
2026-09-01 12:00,C라인,C-106,93.51,5.43,1761.06,6.95,미판정
2026-09-01 13:00,C라인,C-100,96.16,5.24,1751.28,6.78,미판정
2026-09-01 14:00,C라인,C-101,96.03,5.55,1745.32,7.0,미판정
2026-09-01 15:00,C라인,C-102,95.2,5.47,1744.89,6.83,미판정
2026-09-01 06:00,D라인,D-100,109.28,6.83,1877.37,8.18,미판정
2026-09-01 07:00,D라인,D-101,108.28,7.08,1886.07,8.2,미판정
2026-09-01 08:00,D라인,D-102,108.94,7.07,1873.97,8.21,미판정
2026-09-01 09:00,D라인,D-103,107.8,6.82,1869.37,8.2,미판정
2026-09-01 10:00,D라인,D-104,106.68,6.97,1881.02,8.33,미판정
2026-09-01 11:00,D라인,D-105,109.5,6.89,1879.78,8.51,미판정
2026-09-01 12:00,D라인,D-106,108.88,6.89,1872.0,8.38,미판정
2026-09-01 13:00,D라인,D-100,107.67,7.01,1874.2,8.25,미판정
2026-09-01 14:00,D라인,D-101,108.03,7.02,1879.08,8.42,미판정
2026-09-01 15:00,D라인,D-102,107.29,7.04,1869.46,8.51,미판정
