검사일시,생산라인,라인코드,온도,진동,회전수,압력,판정
2026-08-24 19:00,B라인,1,86.51,4.07,1611.03,5.32,주의
2026-08-25 02:00,A라인,0,72.08,3.02,1444.12,3.81,주의
2026-08-25 09:00,A라인,0,73.36,3.15,1442.39,4.17,정상
2026-08-25 07:00,C라인,2,93.42,5.55,1742.74,6.77,정상
2026-08-25 12:00,A라인,0,73.43,3.02,1439.73,3.88,정상
2026-08-26 14:00,C라인,2,94.2,5.39,1754.76,6.77,정상
2026-08-26 05:00,C라인,2,95.75,5.4,1753.92,7.88,정상
2026-08-24 08:00,C라인,2,94.23,5.28,1738.05,6.62,정상
2026-08-26 11:00,A라인,0,72.18,2.83,1445.71,3.85,정상
2026-08-25 00:00,B라인,1,83.56,4.36,1610.24,5.7,주의
2026-08-25 17:00,C라인,2,94.32,5.43,1757.99,6.68,정상
2026-08-25 21:00,A라인,0,72.99,3.17,1454.32,3.95,정상
2026-08-24 23:00,A라인,0,72.82,2.82,1450.1,3.81,정상
2026-08-26 05:00,A라인,0,70.88,2.97,1441.93,3.92,주의
2026-08-26 16:00,C라인,2,95.09,5.22,1753.23,6.73,정상
2026-08-24 14:00,B라인,1,85.93,4.26,1604.1,5.3,정상
2026-08-24 17:00,C라인,2,93.46,5.36,1755.97,6.61,정상
2026-08-26 13:00,A라인,0,71.62,3.09,1455.0,3.92,주의
2026-08-24 19:00,A라인,0,72.32,3.05,1438.62,3.85,정상
2026-08-25 20:00,C라인,2,96.37,5.29,1743.31,5.48,주의
2026-08-26 02:00,A라인,0,84.39789772727272,2.92,1455.98,3.96,정상
2026-08-26 00:00,C라인,2,95.01,5.23,1759.21,6.61,정상
2026-08-25 08:00,A라인,0,71.75,3.08,1457.35,4.03,주의
2026-08-25 06:00,B라인,1,85.44,4.32,1590.53,5.4,정상
2026-08-25 05:00,A라인,0,84.39789772727272,2.84,1443.06,3.87,주의
2026-08-25 10:00,A라인,0,72.12,3.15,1456.31,4.12,정상
2026-08-24 19:00,C라인,2,93.64,5.52,1754.18,6.83,정상
2026-08-25 20:00,A라인,0,72.65,3.18,1438.99,4.2,정상
2026-08-25 13:00,A라인,0,72.64,2.85,1453.06,4.0,정상
2026-08-26 09:00,B라인,1,84.11,4.1,1593.4,5.43,정상
2026-08-25 19:00,A라인,0,88.2,2.88,1449.81,3.8,이상
2026-08-25 19:00,B라인,1,83.88,4.17,1606.32,5.47,정상
2026-08-24 14:00,B라인,1,85.9,4.26,1604.1,5.32,정상
2026-08-24 21:00,C라인,2,96.15,5.39,1749.01,6.89,주의
2026-08-24 06:00,B라인,1,85.71,4.22,1600.03,5.59,정상
2026-08-26 09:00,A라인,0,71.7,2.99,1452.81,4.09,주의
2026-08-24 21:00,A라인,0,72.56,3.13,1453.21,3.98,정상
2026-08-24 12:00,A라인,0,73.55,2.99,1457.74,4.19,정상
2026-08-25 13:00,C라인,2,84.39789772727272,5.36,1748.82,6.61,정상
2026-08-24 13:00,C라인,2,95.21,5.34,1738.91,6.94,정상
2026-08-24 23:00,B라인,1,83.43,4.16,1611.73,5.36,주의
2026-08-24 16:00,C라인,2,95.67,5.52,1750.1,6.84,정상
2026-08-26 01:00,B라인,1,84.12,4.22,1608.22,5.48,정상
2026-08-26 16:00,B라인,1,86.58,4.08,1610.41,5.57,주의
2026-08-24 10:00,A라인,0,71.99,3.0,1440.3,3.9,주의
2026-08-25 11:00,B라인,1,83.9,4.12,1596.69,5.71,정상
2026-08-25 10:00,C라인,2,96.15,5.47,1755.87,7.0,주의
2026-08-24 13:00,B라인,1,84.42,4.02,1610.2,5.37,정상
2026-08-25 14:00,C라인,2,95.92,5.39,1753.83,6.93,주의
2026-08-24 09:00,A라인,0,71.07,4.196983240223464,1449.29,4.12,주의
2026-08-24 15:00,A라인,0,72.35,2.82,1451.93,3.98,정상
