수집시각,구역,센서ID,CPU온도,전력,응답시간,메모리,상태
2026-08-28 08:00,Z1-알파,SN-A-01,59.6,128.29,100.1,21.22,경고
2026-08-28 08:00,Z2-브라보,SN-B-01,71.05,157.43,138.3,31.07,정상
2026-08-28 08:00,Z3-찰리,SN-C-01,79.65,216.01,205.9,39.24,정상
2026-08-28 08:00,Z4-델타,SN-D-01,93.98,316.32,301.7,59.12,장애
2026-08-28 09:00,Z1-알파,SN-A-02,59.58,122.35,93.5,23.96,경고
2026-08-28 09:00,Z2-브라보,SN-B-02,68.6,174.09,133.4,30.66,정상
2026-08-28 09:00,Z3-찰리,SN-C-02,79.48,209.19,203.7,39.97,정상
2026-08-28 09:00,Z4-델타,SN-D-02,92.72,322.31,287.6,60.0,장애
2026-08-28 10:00,Z1-알파,SN-A-03,60.17,123.38,88.5,22.5,정상
2026-08-28 10:00,Z2-브라보,SN-B-03,71.48,174.4,152.0,30.68,경고
2026-08-28 10:00,Z3-찰리,SN-C-03,79.21,222.23,198.3,38.85,정상
2026-08-28 10:00,Z4-델타,SN-D-03,94.31,315.97,278.7,59.76,장애
2026-08-28 11:00,Z1-알파,SN-A-04,60.48,116.32,91.2,21.01,정상
2026-08-28 11:00,Z2-브라보,SN-B-04,67.52,159.16,154.2,31.01,경고
2026-08-28 11:00,Z3-찰리,SN-C-04,80.27,213.65,190.0,40.41,정상
2026-08-28 11:00,Z4-델타,SN-D-04,97.11,304.4,296.0,61.74,장애
2026-08-28 12:00,Z1-알파,SN-A-01,57.48,121.38,94.2,25.91,경고
2026-08-28 12:00,Z2-브라보,SN-B-01,69.55,160.95,153.3,32.4,경고
2026-08-28 12:00,Z3-찰리,SN-C-01,78.69,217.47,201.6,40.69,정상
2026-08-28 12:00,Z4-델타,SN-D-01,96.99,325.28,296.1,60.62,장애
2026-08-28 13:00,Z1-알파,SN-A-02,57.57,117.36,95.0,22.12,경고
2026-08-28 13:00,Z2-브라보,SN-B-02,69.1,169.78,145.0,31.0,정상
2026-08-28 13:00,Z3-찰리,SN-C-02,78.06,210.77,209.4,41.32,경고
2026-08-28 13:00,Z4-델타,SN-D-02,93.52,314.11,305.5,59.62,장애
2026-08-28 14:00,Z1-알파,SN-A-03,60.84,130.09,94.9,24.69,경고
2026-08-28 14:00,Z2-브라보,SN-B-03,69.3,170.09,144.1,29.86,정상
2026-08-28 14:00,Z3-찰리,SN-C-03,78.13,216.46,202.8,40.1,정상
2026-08-28 14:00,Z4-델타,SN-D-03,94.06,329.51,300.3,60.37,장애
2026-08-28 15:00,Z1-알파,SN-A-04,59.84,123.29,89.8,25.51,정상
2026-08-28 15:00,Z2-브라보,SN-B-04,69.56,161.56,151.2,30.55,경고
2026-08-28 15:00,Z3-찰리,SN-C-04,77.49,213.39,191.9,39.98,정상
2026-08-28 15:00,Z4-델타,SN-D-04,97.08,338.66,297.4,63.1,장애
2026-08-28 16:00,Z1-알파,SN-A-01,58.96,123.21,89.3,22.51,정상
2026-08-28 16:00,Z2-브라보,SN-B-01,68.85,161.61,150.0,30.32,경고
2026-08-28 16:00,Z3-찰리,SN-C-01,79.61,204.82,208.8,39.65,경고
2026-08-28 17:00,Z1-알파,SN-A-02,59.09,126.87,85.2,22.43,정상
2026-08-28 17:00,Z2-브라보,SN-B-02,71.33,168.67,152.2,30.34,경고
2026-08-28 17:00,Z3-찰리,SN-C-02,81.05,206.87,203.3,38.24,정상
2026-08-28 18:00,Z1-알파,SN-A-03,60.79,123.04,96.3,21.24,경고
2026-08-28 18:00,Z2-브라보,SN-B-03,70.02,177.11,144.3,30.45,정상
2026-08-28 18:00,Z3-찰리,SN-C-03,78.96,208.62,210.2,39.43,경고
