수집시각,구역,구역코드,센서ID,CPU온도,전력,응답시간,메모리,상태
2026-08-24 08:00,Z1-알파,0,SN-A-01,57.96,125.2,78.6,20.6,정상
2026-08-24 08:00,Z2-브라보,1,SN-B-01,68.88,161.99,150.1,29.47,경고
2026-08-24 08:00,Z3-찰리,2,SN-C-01,78.96,214.65,202.5,37.03,경고
2026-08-24 09:00,Z1-알파,0,SN-A-02,58.48,131.13,94.4,22.92,경고
2026-08-24 09:00,Z2-브라보,1,SN-B-02,66.75,158.32,149.2,27.68,경고
2026-08-24 09:00,Z3-찰리,2,SN-C-02,78.29,210.61,193.2,38.85,정상
2026-08-24 10:00,Z1-알파,0,SN-A-03,58.86,119.03,91.2,23.25,경고
2026-08-24 10:00,Z2-브라보,1,SN-B-03,67.13,163.67,131.8,28.03,정상
2026-08-24 10:00,Z3-찰리,2,SN-C-03,78.68,216.8,199.6,40.53,정상
2026-08-24 11:00,Z1-알파,0,SN-A-04,58.013653846153844,118.9,88.6,23.71,정상
2026-08-24 11:00,Z2-브라보,1,SN-B-04,68.22,168.16,137.6,30.92,정상
2026-08-24 11:00,Z3-찰리,2,SN-C-04,78.96,214.23,186.4,39.38,정상
2026-08-24 12:00,Z1-알파,0,SN-A-01,57.73,117.46,77.7,23.62,정상
2026-08-24 12:00,Z2-브라보,1,SN-B-01,68.19,155.93,139.3,31.97,정상
2026-08-24 12:00,Z3-찰리,2,SN-C-01,79.17,212.87,184.2,39.01,정상
2026-08-24 13:00,Z1-알파,0,SN-A-02,58.07,119.03,95.2,20.38,경고
2026-08-24 13:00,Z2-브라보,1,SN-B-02,67.39,170.35,148.1,27.56,경고
2026-08-24 13:00,Z3-찰리,2,SN-C-02,77.8,199.3,182.9,36.56,정상
2026-08-24 14:00,Z1-알파,0,SN-A-03,58.87,127.89,72.5,21.31,정상
2026-08-24 14:00,Z2-브라보,1,SN-B-03,67.98,166.78,140.4,28.34,정상
2026-08-24 14:00,Z3-찰리,2,SN-C-03,79.33,203.43,199.3,37.76,정상
2026-08-24 15:00,Z1-알파,0,SN-A-04,57.36,123.54,78.0,23.95,정상
2026-08-24 15:00,Z2-브라보,1,SN-B-04,67.23,166.52,146.9,29.95,경고
2026-08-24 15:00,Z3-찰리,2,SN-C-04,76.22,206.77,189.1,38.26,정상
2026-08-24 16:00,Z1-알파,0,SN-A-01,73.0,122.87,82.3,20.28,정상
2026-08-24 16:00,Z2-브라보,1,SN-B-01,66.27,167.98,149.9,29.47,경고
2026-08-24 16:00,Z3-찰리,2,SN-C-01,78.46,199.91,198.3,41.18,정상
2026-08-24 17:00,Z1-알파,0,SN-A-02,58.65,123.84,82.5,22.49,정상
2026-08-24 17:00,Z2-브라보,1,SN-B-02,68.37,160.18,137.5,29.8,정상
2026-08-24 17:00,Z3-찰리,2,SN-C-02,77.71,206.62,188.2,39.58,정상
2026-08-24 18:00,Z1-알파,0,SN-A-03,59.77,116.91,92.5,22.54,경고
2026-08-24 18:00,Z2-브라보,1,SN-B-03,67.62,160.2,134.5,31.57,정상
2026-08-24 18:00,Z3-찰리,2,SN-C-03,75.9,205.81,196.2,37.74,정상
2026-08-24 19:00,Z1-알파,0,SN-A-04,58.02,120.66,85.1,20.9,정상
2026-08-24 19:00,Z2-브라보,1,SN-B-04,68.4,174.66,142.2,32.21,정상
2026-08-24 19:00,Z3-찰리,2,SN-C-04,76.01,201.13,191.5,41.3,정상
2026-08-24 20:00,Z1-알파,0,SN-A-01,57.9,120.78,95.3,22.11,경고
2026-08-24 20:00,Z2-브라보,1,SN-B-01,66.64,162.98,137.7,28.68,정상
2026-08-24 20:00,Z3-찰리,2,SN-C-01,78.03,214.67,184.1,39.0,장애
2026-08-24 21:00,Z1-알파,0,SN-A-02,57.14,117.96,73.4,23.44,정상
2026-08-24 21:00,Z2-브라보,1,SN-B-02,68.01,172.49,139.3,29.57,정상
2026-08-24 21:00,Z3-찰리,2,SN-C-02,77.03,212.05,201.0,38.93,경고
2026-08-24 22:00,Z1-알파,0,SN-A-03,58.25,112.81,83.6,24.82,정상
2026-08-24 22:00,Z2-브라보,1,SN-B-03,68.25,163.86,151.1,31.62,경고
2026-08-24 22:00,Z3-찰리,2,SN-C-03,78.54,206.08,197.3,37.53,정상
2026-08-24 23:00,Z1-알파,0,SN-A-04,57.55,127.14,94.2,21.27,경고
2026-08-24 23:00,Z2-브라보,1,SN-B-04,68.15,155.81,136.1,29.57,정상
2026-08-24 23:00,Z3-찰리,2,SN-C-04,79.15,205.4,197.4,41.84,정상
2026-08-25 00:00,Z1-알파,0,SN-A-01,57.82,125.03,76.5,21.37,정상
2026-08-25 00:00,Z2-브라보,1,SN-B-01,68.91,162.84,146.1,30.0,경고
2026-08-25 00:00,Z3-찰리,2,SN-C-01,78.32,212.05,198.4,39.67,정상
2026-08-25 01:00,Z1-알파,0,SN-A-02,58.013653846153844,125.33,80.8,22.41,정상
2026-08-25 01:00,Z2-브라보,1,SN-B-02,67.95,163.99,141.4,29.98,정상
2026-08-25 01:00,Z3-찰리,2,SN-C-02,76.68,202.29,190.8,37.05,정상
2026-08-25 02:00,Z1-알파,0,SN-A-03,58.18,122.39,79.0,19.58,정상
2026-08-25 02:00,Z2-브라보,1,SN-B-03,67.98,162.67,145.5,32.39,경고
2026-08-25 02:00,Z3-찰리,2,SN-C-03,76.39,212.83,195.8,38.4,정상
2026-08-25 03:00,Z1-알파,0,SN-A-04,58.74,112.06,94.4,21.98,경고
2026-08-25 03:00,Z2-브라보,1,SN-B-04,67.72,169.37,131.5,33.09,정상
2026-08-25 03:00,Z3-찰리,2,SN-C-04,62.5,210.68,189.2,37.87,정상
2026-08-25 04:00,Z1-알파,0,SN-A-01,57.45,125.07,90.8,19.61,경고
2026-08-25 04:00,Z2-브라보,1,SN-B-01,67.37,165.89,140.3,29.03,정상
2026-08-25 04:00,Z3-찰리,2,SN-C-01,78.94,201.72,199.2,38.72,정상
2026-08-25 05:00,Z1-알파,0,SN-A-02,56.96,117.65,72.2,22.98,정상
2026-08-25 05:00,Z2-브라보,1,SN-B-02,68.31,168.26,135.7,32.61,정상
2026-08-25 05:00,Z3-찰리,2,SN-C-02,78.75,211.45,183.6,39.0,장애
2026-08-25 06:00,Z1-알파,0,SN-A-03,56.11,116.15,78.7,21.42,정상
2026-08-25 06:00,Z2-브라보,1,SN-B-03,66.23,169.69,143.2,27.95,정상
2026-08-25 06:00,Z3-찰리,2,SN-C-03,78.01,215.95,209.7,39.26,경고
2026-08-25 07:00,Z1-알파,0,SN-A-04,73.0,128.38,91.8,23.73,경고
2026-08-25 07:00,Z2-브라보,1,SN-B-04,68.31,166.09,139.9,29.59,정상
