수집시각,구역,구역코드,CPU온도,전력,응답시간,메모리,상태
2026-08-24 08:00,Z1-알파,0,57.96,125.2,78.6,20.6,정상
2026-08-24 08:00,Z2-브라보,1,68.88,161.99,150.1,29.47,경고
2026-08-24 08:00,Z3-찰리,2,78.96,214.65,202.5,37.03,경고
2026-08-24 09:00,Z1-알파,0,58.48,131.13,94.4,22.92,경고
2026-08-24 09:00,Z2-브라보,1,66.75,158.32,149.2,27.68,경고
2026-08-24 09:00,Z3-찰리,2,78.29,210.61,193.2,38.85,정상
2026-08-24 10:00,Z1-알파,0,58.86,119.03,91.2,23.25,경고
2026-08-24 10:00,Z2-브라보,1,67.13,163.67,131.8,28.03,정상
2026-08-24 10:00,Z3-찰리,2,78.68,216.8,199.6,40.53,정상
2026-08-24 11:00,Z1-알파,0,68.37511363636364,118.9,88.6,23.71,정상
2026-08-24 11:00,Z2-브라보,1,68.22,168.16,137.6,30.92,정상
2026-08-24 11:00,Z3-찰리,2,78.96,214.23,186.4,39.38,정상
2026-08-24 12:00,Z1-알파,0,57.73,117.46,77.7,23.62,정상
2026-08-24 12:00,Z2-브라보,1,68.19,155.93,139.3,31.97,정상
2026-08-24 12:00,Z3-찰리,2,79.17,212.87,184.2,39.01,정상
2026-08-24 13:00,Z1-알파,0,58.07,164.38206703910615,95.2,20.38,경고
2026-08-24 13:00,Z2-브라보,1,67.39,170.35,148.1,27.56,경고
2026-08-24 13:00,Z3-찰리,2,77.8,199.3,182.9,36.56,정상
2026-08-24 14:00,Z1-알파,0,58.87,127.89,72.5,21.31,정상
2026-08-24 14:00,Z2-브라보,1,67.98,166.78,140.4,28.34,정상
2026-08-24 14:00,Z3-찰리,2,79.33,203.43,199.3,37.76,정상
2026-08-24 15:00,Z1-알파,0,57.36,123.54,78.0,23.95,정상
2026-08-24 15:00,Z2-브라보,1,67.23,166.52,146.9,29.95,경고
2026-08-24 15:00,Z3-찰리,2,76.22,206.77,189.1,38.26,정상
2026-08-24 16:00,Z1-알파,0,73.0,122.87,82.3,20.28,정상
2026-08-24 16:00,Z2-브라보,1,66.27,167.98,149.9,29.47,경고
2026-08-24 16:00,Z3-찰리,2,78.46,199.91,198.3,41.18,정상
2026-08-24 17:00,Z1-알파,0,58.65,123.84,82.5,22.49,정상
2026-08-24 17:00,Z2-브라보,1,68.37,160.18,137.5,29.78,정상
2026-08-24 17:00,Z3-찰리,2,77.71,206.62,188.2,39.58,정상
2026-08-24 18:00,Z1-알파,0,59.77,116.91,92.5,22.54,경고
2026-08-24 18:00,Z2-브라보,1,67.62,160.2,134.5,31.57,정상
2026-08-24 18:00,Z3-찰리,2,75.9,205.81,196.2,37.74,정상
2026-08-24 19:00,Z1-알파,0,58.02,120.66,85.1,20.9,정상
2026-08-24 19:00,Z2-브라보,1,68.4,174.66,142.2,32.21,정상
2026-08-24 19:00,Z3-찰리,2,76.01,201.13,191.5,41.3,정상
2026-08-24 20:00,Z1-알파,0,57.9,120.78,95.3,22.11,경고
2026-08-24 20:00,Z2-브라보,1,66.64,162.98,137.7,28.68,정상
2026-08-24 21:00,Z1-알파,0,57.14,117.96,73.4,23.44,정상
2026-08-24 21:00,Z2-브라보,1,68.01,172.49,139.3,29.57,정상
2026-08-24 21:00,Z2-브라보,1,68.04,172.49,139.3,29.6,정상
2026-08-24 21:00,Z3-찰리,2,77.03,212.05,201.0,38.93,경고
2026-08-24 22:00,Z1-알파,0,58.25,112.81,83.6,24.82,정상
2026-08-24 22:00,Z2-브라보,1,68.25,163.86,151.1,31.62,경고
